B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,label
695.5,2478.0,1735.5,464.5,570.0,649.0,981.0,1406.5,1630.5,1528.5,2004.5,1798.0,tambang
1276.0,3632.5,2820.5,1501.0,1621.0,1641.0,1715.0,2023.5,2234.5,2450.0,2615.0,2303.0,tambang
1892.0,5836.5,4813.5,1847.0,1893.0,2071.0,2332.5,2481.5,2759.0,2885.0,3428.0,2987.5,tambang
1089.0,3283.0,2591.5,972.0,1082.0,1214.0,1327.5,1379.5,1541.5,1686.0,1835.5,2494.0,tambang
1872.5,5576.5,4575.0,1801.0,1898.0,2082.0,2190.0,2319.0,2542.0,2833.5,3041.5,2903.5,tambang
2004.5,5939.5,4935.0,1957.0,2002.0,2140.0,2180.5,2337.0,2596.5,2985.0,3226.0,3145.0,tambang
5386.5,5853.0,4411.5,5482.0,5368.0,5381.0,5673.0,5607.5,5695.0,5772.0,5988.5,8929.0,tambang
1472.5,3113.5,2348.5,1128.5,1152.0,1245.0,1500.5,1740.0,1961.0,2073.0,2281.5,3435.5,tambang
1349.5,6107.0,5423.5,1758.0,1928.0,2018.0,2190.5,2323.5,2573.5,2756.0,3136.0,2434.5,tambang
1031.0,3945.0,3230.5,938.5,1064.0,1155.0,1397.5,1607.5,1810.0,1964.0,2206.5,1927.0,tambang
1263.5,4764.5,4065.0,1463.0,1587.0,1710.0,1663.0,1766.0,1976.0,2334.5,2451.5,1956.5,tambang
1913.5,5898.0,4979.5,2020.0,2211.0,2335.0,2637.0,2810.5,3090.5,3334.5,3839.5,3125.0,tambang
3654.5,4310.0,3708.0,3045.0,3122.0,3311.0,3608.0,3586.5,3615.5,3405.0,3680.5,6419.0,tambang
2438.5,5296.0,4432.0,2026.0,2073.0,2155.0,2214.0,2283.5,2429.0,2757.5,2924.0,5490.0,tambang
1211.0,4143.0,3348.0,1418.0,1452.0,1523.0,1546.0,1637.5,1766.0,2138.5,2116.0,2032.5,tambang
1989.5,5523.0,4640.5,1866.0,2062.0,2238.0,2343.5,2570.0,2842.0,3346.5,3427.0,3027.0,tambang
4220.0,5162.0,4183.5,4451.0,4414.0,4510.0,4638.0,4602.5,4718.5,4768.0,4961.0,7459.0,tambang
2725.0,5627.0,4828.5,2602.0,2650.0,2795.0,2890.0,2994.0,3241.5,3447.0,3745.0,3465.5,tambang
1515.0,3280.0,2753.5,1544.0,1534.0,1554.0,1783.0,1969.5,2099.5,2279.0,2419.0,3648.0,tambang
837.5,3355.0,2888.0,829.0,896.0,1024.0,1192.5,1224.5,1404.5,1568.0,1785.0,1916.0,tambang
2825.0,4346.0,3802.0,2653.0,2664.0,2721.0,2924.0,2948.5,3134.5,3235.0,3458.5,5141.0,tambang
1101.0,3775.0,3098.5,1400.0,1521.0,1704.0,1789.0,1925.5,2112.5,2336.5,2493.0,2094.0,tambang
1913.5,6340.0,5527.5,2438.0,2675.0,2950.0,2990.5,3133.0,3459.0,3858.0,4039.5,3277.5,tambang
1798.0,6101.0,5210.5,2228.0,2337.0,2679.0,2694.5,2835.0,3123.0,3558.5,3682.0,2990.5,tambang
